region,year,vrp,real_vrp,population,real_vrp_pop
Московская область,2022,7720842651.3,860595949573.2059,8566996.0,901.2310325929883
Мурманская область,2016,467006457.6,467006457.6,729119.0,640.5078699087529
Мурманская область,2017,479352810.0,47273452662.72189,719418.0,666.3063893313762
Мурманская область,2018,521051531.90000004,51694067168.77712,709332.0,734.5665103223879
Мурманская область,2019,616504098.3999999,64283380893.77812,698097.0,883.1209680030137
Мурманская область,2020,798450094.7,89249399732.38791,685413.0,1164.9182240488583
Мурманская область,2021,1106607719.2,130745337282.08351,671913.0,1646.9508987026595
Мурманская область,2022,1148670733.7999997,125672153517.09125,661969.0,1735.2334230152767
Нижегородская область,2016,1282751717.9,1282751717.9,3236317.0,396.36157950534516
Нижегородская область,2017,1387920891.1,136204209136.40822,3220481.0,430.96695527779855
Нижегородская область,2018,1502156215.2,150510451002.8655,3200781.0,469.3092764547153
Нижегородская область,2019,1617171682.5000002,167867816505.8361,3181635.0,508.28321994823426
Нижегородская область,2020,1600333399.2999997,159475148665.90497,3159332.0,506.541699099683
Нижегородская область,2021,1931254090.9,203998901351.54886,3126706.0,617.6641138949425
Нижегородская область,2022,2287862263.7,247709208849.619,3095367.0,739.1247188782461
Новгородская область,2016,253056830.49999994,253056830.49999994,611801.0,413.62604915650667
Новгородская область,2017,256165753.3,25138935554.46516,606830.0,422.1375892754149
Новгородская область,2018,259255769.7,24984216471.579975,600354.0,431.8381649826602
Новгородская область,2019,273807999.5,26967105351.344254,594935.0,460.23178918705406
Новгородская область,2020,279689287.7,27518801825.807446,590560.0,473.60012141018694
Новгородская область,2021,345664339.99999994,35370533104.392715,584937.0,590.9428536748401
Новгородская область,2022,380629903.6000001,38403149857.24108,578752.0,657.6735866139556
Новосибирская область,2016,1074794706.4,1074794706.4,2779423.0,386.6970613684927
Новосибирская область,2017,1179564231.5000002,113528799951.87682,2794287.0,422.1342444423212
Новосибирская область,2018,1301631140.4,129787282141.90567,2802770.0,464.4088314060733
Новосибирская область,2019,1332895765.6999998,136493144718.32147,2808986.0,474.51135950837767
Новосибирская область,2020,1358350071.4,137152357264.41333,2806789.0,483.9516156718585
Новосибирская область,2021,1628844352.4,177292316125.1499,2799459.0,581.8425461490953
Новосибирская область,2022,1939378157.9,217214194501.48535,2795879.0,693.6559693391596
Омская область,2016,669480400.0,669480400.0,1961304.0,341.3445340446968
Омская область,2017,699716507.5,68734430992.14146,1949563.0,358.9094107243521
Омская область,2018,736076838.6,72306172750.49117,1932800.0,380.8344570571192
Омская область,2019,772095892.6999999,76982056099.26324,1913594.0,403.4794698875519
Омская область,2020,770280360.9,76263430682.64297,1890857.0,407.37102853362256
Омская область,2021,796044144.2,79917634331.68147,1864832.0,426.8717740793809
Омская область,2022,947059377.3000001,100688213769.00345,1841800.0,514.2031584862635
Оренбургская область,2016,814765416.1999999,814765416.1999999,1954702.0,416.8233399259836
Оренбургская область,2017,872857132.4000001,85742350923.37918,1939640.0,450.0098638922687
Оренбургская область,2018,1058504829.5999998,106786292730.7662,1920172.0,551.2552154702806
Оренбургская область,2019,1106329322.9,114066465554.01796,1904146.0,581.0107643531536
Оренбургская область,2020,1046728312.4000001,106842176695.66937,1888872.0,554.1552378350677
Оренбургская область,2021,1409920982.5,146792444088.64685,1867547.0,754.9587681059701
Оренбургская область,2022,1571366405.5,165727980092.68896,1848579.0,850.0401689622137
Орловская область,2016,228583086.6,228583086.6,755247.0,302.6600391659947
Орловская область,2017,231118403.6,23440000365.111565,748637.0,308.7189166445153
Орловская область,2018,247105506.8,25337085940.64909,740588.0,333.66123512668315
Орловская область,2019,266655649.10000002,28107236242.88264,733340.0,363.6180340633267
Орловская область,2020,282883748.6,29817783264.70272,725578.0,389.87365741519176
Орловская область,2021,338266125.20000005,36368554143.037415,715505.0,472.76556446146435
Орловская область,2022,369901154.29999995,38616458610.610435,705150.0,524.570877543785
Пензенская область,2016,358258197.79999995,358258197.79999995,1338461.0,267.66427845114646
Пензенская область,2017,376076199.90000004,36834103809.99021,1328720.0,283.03645606297795
Пензенская область,2018,411028739.70000005,41545706108.756134,1315622.0,312.4216071941637
Пензенская область,2019,448521114.09999996,46740732344.12216,1301298.0,344.6720997803731
Пензенская область,2020,484785389.8000001,52085976252.151634,1286654.0,376.7799189214817
Пензенская область,2021,540115810.8000001,59075302524.815796,1269953.0,425.3037795886935
Пензенская область,2022,592885478.1,65819703117.72895,1253856.0,472.8497356155731
Пермский край,2016,1147634030.8999999,1147634030.8999999,2618357.0,438.3031156179237
Пермский край,2017,1245826903.9,122259755044.16093,2610139.0,477.3028960909745
Пермский край,2018,1422704559.6,140734661047.77228,2596807.0,547.8668840618498
Пермский край,2019,1496401414.9999998,148912940341.30713,2581988.0,579.5539774003596
Пермский край,2020,1385352502.3999999,134139740738.58337,2562731.0,540.5766357842473
Пермский край,2021,1765366594.0,177089099144.7303,2537933.0,695.5922768646769
Пермский край,2022,2002818830.8999999,198296817064.10406,2516751.0,795.7953849625966
Приморский край,2016,860803568.9,860803568.9,1914487.0,449.6262282794294
Приморский край,2017,906265030.7,88936705662.41412,1904449.0,475.8673142205436
Приморский край,2018,965485182.3999999,96453769939.47005,1892360.0,510.20164366188243
Приморский край,2019,1069330650.0,112169532069.18546,1881968.0,568.1981043248344
Приморский край,2020,1105672590.4,114241965691.8922,1867932.0,591.9233625206914
Приморский край,2021,1354099499.8,149983846229.50162,1850077.0,731.9152120695517
Приморский край,2022,1539350317.1999998,174935816028.45374,1831019.0,840.7069053898402
Псковская область,2016,159206139.1,159206139.1,635721.0,250.43397827034187
Псковская область,2017,165858068.9,16470513296.921549,629303.0,263.5583636181617
Псковская область,2018,180730328.0,18270454210.923534,621621.0,290.7403836099488
Псковская область,2019,196625301.2,20414001951.37867,614980.0,319.7263345149436
Псковская область,2020,201756689.2,20423083328.284748,608791.0,331.40550566614814
Псковская область,2021,227739723.70000002,23422101793.461708,600993.0,378.9390620190252
Псковская область,2022,257770799.70000002,26272079405.20492,592342.0,435.1722479581053
Республика Адыгея (Адыгея),2016,101102695.60000001,101102695.60000001,467564.0,216.2328485512144
Республика Адыгея (Адыгея),2017,109714561.1,10693427007.79727,471202.0,232.83976107911255
Республика Адыгея (Адыгея),2018,119961758.9,12078021144.610136,474576.0,252.77670784026162
Республика Адыгея (Адыгея),2019,131125774.79999998,13782929248.01263,482078.0,272.0011591485195
Республика Адыгея (Адыгея),2020,142913546.5,15562759693.159712,488987.0,292.2645111219726
Республика Адыгея (Адыгея),2021,171386144.5,19316537148.186428,494351.0,346.6891833939852
Республика Адыгея (Адыгея),2022,197082020.2,23145591768.295544,498135.0,395.63977676734214
Республика Алтай,2016,47434942.1,47434942.1,210574.0,225.26495246326706
Республика Алтай,2017,48415223.099999994,4935292874.617736,211051.0,229.40058611425673
Республика Алтай,2018,54069394.199999996,5748662400.672782,211019.0,256.22998023874624
Республика Алтай,2019,57063979.00000001,6364332198.955455,211127.0,270.2827160903153
Республика Алтай,2020,62850787.0,7128899008.605155,211229.0,297.5480970889414
Республика Алтай,2021,74513448.5,8781363457.80106,210976.0,353.18447832928865
Республика Алтай,2022,91614704.8,11811629022.849195,210789.0,434.6275412853612
Республика Башкортостан,2016,1421517606.5000005,1421517606.5000005,4116385.0,345.3315485553466
Республика Башкортостан,2017,1487892173.8,148048972517.41293,4120782.0,361.07034388133127
Республика Башкортостан,2018,1739362867.1,178609201875.3433,4120410.0,422.13344475428414
Республика Башкортостан,2019,1803321697.6,188695275996.98917,4115453.0,438.18303783325916
Республика Башкортостан,2020,1694189746.1,166993962991.71732,4104463.0,412.7676985028248
Республика Башкортостан,2021,2016023657.2000003,204280758184.0246,4093857.0,492.45092273618747
Республика Башкортостан,2022,2242646944.3,229516609415.45862,4084610.0,549.0479982911465
Республика Бурятия,2016,220764555.7,220764555.7,980863.0,225.0717538534943
Республика Бурятия,2017,224594109.40000004,22871090570.264767,981428.0,228.84420395586844
Республика Бурятия,2018,258578553.0,27490428648.879837,980413.0,263.74451685157175
Республика Бурятия,2019,285490577.29999995,31595957369.852253,980819.0,291.0736611953887
Республика Бурятия,2020,302800398.4,33545190312.311222,981527.0,308.4993060812387
Республика Бурятия,2021,356150162.5,41230941804.99633,979453.0,363.62149332331416
Республика Бурятия,2022,447008536.4,57079667890.25799,976290.0,457.8645037847361
Республика Дагестан,2016,617587559.9,617587559.9,3046906.0,202.69334200004857
Республика Дагестан,2017,639513249.9,61968338168.604645,3073954.0,208.04255688276402
Республика Дагестан,2018,676060826.5,66164867709.78682,3099781.0,218.09954525819728
Республика Дагестан,2019,713723622.2,70479516099.59283,3126938.0,228.25000757929965
Республика Дагестан,2020,740798846.0,72641096036.66173,3152863.0,234.9606836706828
Республика Дагестан,2021,802523280.3,80818386269.7043,3175870.0,252.69399575549375
Республика Дагестан,2022,913292096.6,93720893040.42656,3198342.0,285.5517316784759
Республика Ингушетия,2016,58141513.9,58141513.9,470384.0,123.60436133031736
Республика Ингушетия,2017,60855812.400000006,5891172545.982576,476837.0,127.62393102884215
Республика Ингушетия,2018,67468233.3,6779479783.678607,484116.0,139.3637750043378
Республика Ингушетия,2019,73791541.7,7548338959.31489,492438.0,149.84940581352373
Республика Ингушетия,2020,70857322.0,6813298212.374939,500340.0,141.61834352640204
Республика Ингушетия,2021,71831581.0,6934606170.25638,507658.0,141.49600912425294
Республика Ингушетия,2022,82227256.10000001,8239854218.715517,515197.0,159.60352273014013
